slangfinnish;standardfinnish;english
affa;aurinko;sunrise
aikarauta;kello;time
asiallinen ;hyvä;good
assa ;asema;station
bailut;juhlat;party
bestis;paras ystäava;best friend
broidi;veli;brother
bandi;yhtye;band(music)
bai ;moi / terve!;hey
baidu;sauna;sauna
bamari;poliisi;police
banaani;matkapuhelin;cell phone
börsta ; olut;beer
citi;keskusta;center
cäb;taksi;taxi
daagis;päiväkoti;nursery
datsa;kesämökki;summer cottage
denari;raha;money
dogi;koira;dog
einis;ruokaa;food
esa;ensimmäinen;first
faija ;isä;father
fillari;polkupyörä;bicycle
frendi;ystävä;friend
futis;jalkapallo;football
fäärdi ;valmis;finish
förari;kuljettaja;driver
gille ;mies;man
gissa;tyttö;girl
hima;koti;home
homma;työ;job
hyyraa ;vuokrata;rent
inssi;insinööri;engineer
jade;jäätelö;ice cream
jannu;poika;boy
kaks;kaksi;two
kammari;poliisiasema;police station
koile;koulu;school
kol;kolme;three
lastari;kuorma-auto;truck
leguri;lääkäri;doctor
liiva;mukava;nice
muija;vaimo;wife
nel;nelja;four
paku;pakettiauto;van
rafla;ravintola;restaurant
systeri;sisko;sister
tyypi;ihminen;person
veke;pois;away
ventata;odotta;to wait
öödaa;syödä;eat
